Date,Tractor_Model,Demand_Units,Supplier,Supplier_Delay_Days,Component_Failure_Rate,Inventory_Levels,Warehouse_Location,Inflation_Rate,Market_Trend_Index
2023-01-31,TX-500,225,Supplier C,3,0.035,4555,IL,3.89,0.39
2023-12-30,TX-400,277,Supplier C,16,0.085,167,IL,1.77,0.59
2022-05-10,TX-300,372,Supplier C,17,0.077,3914,FL,4.57,0.72
2023-07-18,TX-300,451,Supplier A,15,0.02,1273,TX,3.23,0.22
2023-02-04,TX-400,416,Supplier B,0,0.016,4676,NY,3.29,0.82
2022-12-31,TX-100,67,Supplier C,5,0.078,4416,NY,2.69,0.03
2022-11-10,TX-400,105,Supplier B,10,0.039,360,NY,3.0,0.44
2020-05-01,TX-100,456,Supplier E,5,0.095,2413,NY,5.38,0.63
2021-04-11,TX-200,84,Supplier E,16,0.094,3630,TX,5.05,0.29
2023-05-23,TX-300,439,Supplier E,3,0.069,1749,NY,5.71,0.68
2020-11-26,TX-100,167,Supplier D,13,0.05,776,FL,4.65,0.87
2020-03-28,TX-500,331,Supplier A,29,0.019,4039,FL,4.1,0.09
2023-10-28,TX-500,303,Supplier B,13,0.088,4438,FL,2.67,0.51
2023-01-28,TX-300,262,Supplier D,19,0.008,2035,NY,4.5,0.02
2022-05-21,TX-400,110,Supplier B,7,0.037,1778,FL,5.58,0.28
2020-05-10,TX-400,137,Supplier A,21,0.032,1292,FL,1.81,0.14
2023-08-25,TX-100,320,Supplier C,1,0.096,2722,CA,3.49,0.62
2022-02-08,TX-400,396,Supplier D,4,0.012,765,NY,2.17,0.25
2020-12-09,TX-300,81,Supplier A,3,0.089,4962,FL,5.15,0.28
2023-12-08,TX-100,445,Supplier D,9,0.046,1701,TX,4.26,0.21
2022-03-16,TX-200,182,Supplier E,19,0.005,2009,FL,5.46,0.24
2021-01-20,TX-400,113,Supplier D,27,0.073,287,CA,1.78,0.23
2023-04-30,TX-400,248,Supplier C,23,0.01,804,TX,5.58,0.7
2022-08-13,TX-100,305,Supplier C,20,0.024,3467,TX,1.8,0.96
2020-10-03,TX-500,391,Supplier B,2,0.08,4887,IL,2.79,0.49
2023-03-30,TX-400,204,Supplier D,15,0.015,3553,CA,2.2,0.6
2021-04-04,TX-300,280,Supplier E,9,0.033,1466,CA,2.15,0.82
2023-08-30,TX-400,350,Supplier C,27,0.036,2749,FL,2.27,0.48
2020-01-22,TX-200,84,Supplier B,14,0.059,434,CA,3.66,0.3
2020-09-09,TX-400,75,Supplier E,3,0.079,4933,TX,5.03,0.95
2022-01-17,TX-500,72,Supplier E,0,0.023,2484,TX,5.54,0.91
2022-05-06,TX-400,190,Supplier E,21,0.021,455,FL,4.05,0.22
2021-04-19,TX-100,436,Supplier A,26,0.022,2022,TX,2.21,0.7
2022-12-18,TX-400,334,Supplier C,28,0.038,4427,FL,1.86,0.65
2021-05-25,TX-500,499,Supplier A,14,0.054,3438,IL,3.72,0.65
2021-11-30,TX-100,369,Supplier A,9,0.001,895,CA,4.94,0.83
2022-09-02,TX-300,205,Supplier C,19,0.078,289,CA,4.29,0.67
2020-07-08,TX-100,469,Supplier D,21,0.093,4243,CA,4.12,0.52
2022-08-15,TX-200,162,Supplier B,17,0.084,913,IL,1.72,0.85
2021-11-17,TX-100,439,Supplier C,15,0.004,2202,CA,3.35,0.26
2022-08-15,TX-300,188,Supplier B,20,0.052,3510,IL,3.98,0.68
2021-07-16,TX-400,471,Supplier D,26,0.081,2266,IL,4.19,0.7
2023-06-21,TX-100,423,Supplier C,8,0.034,2350,FL,1.52,0.87
2022-04-11,TX-100,467,Supplier E,23,0.09,1779,NY,2.4,1.0
2023-02-28,TX-100,258,Supplier C,18,0.089,2158,NY,5.77,0.56
2021-10-08,TX-100,372,Supplier D,16,0.014,4454,FL,3.79,0.48
2020-01-21,TX-300,413,Supplier A,9,0.049,4493,FL,4.67,0.6
2022-04-20,TX-500,479,Supplier C,18,0.003,1320,FL,2.89,0.66
2020-06-15,TX-500,135,Supplier E,7,0.028,1727,CA,4.13,0.71
2023-07-21,TX-100,334,Supplier C,26,0.081,2480,TX,3.1,0.28
2021-01-22,TX-300,109,Supplier A,18,0.098,1499,FL,2.84,0.49
2021-08-23,TX-300,103,Supplier C,4,0.091,233,IL,3.35,0.37
2020-11-11,TX-100,142,Supplier E,1,0.004,2263,NY,3.57,0.04
2020-01-14,TX-200,374,Supplier D,14,0.093,2809,CA,2.99,0.61
2020-08-29,TX-100,422,Supplier E,16,0.082,1379,TX,2.66,0.87
2022-02-15,TX-200,314,Supplier D,26,0.087,652,NY,4.31,0.92
2023-10-01,TX-100,431,Supplier E,9,0.091,4888,NY,3.21,0.52
2021-07-18,TX-200,262,Supplier B,29,0.049,2186,NY,2.41,0.77
2022-06-16,TX-200,382,Supplier C,20,0.021,3994,IL,4.91,0.71
2023-09-25,TX-100,59,Supplier C,20,0.002,4675,IL,4.76,0.23
2020-04-01,TX-200,407,Supplier A,21,0.002,3073,IL,5.49,0.06
2023-10-22,TX-400,252,Supplier B,1,0.064,1253,TX,4.0,0.75
2022-08-13,TX-500,245,Supplier A,8,0.034,4258,NY,2.76,0.28
2023-12-22,TX-300,107,Supplier C,1,0.05,1054,FL,5.39,0.55
2021-05-23,TX-200,305,Supplier A,17,0.013,2677,TX,2.76,0.52
2022-02-14,TX-200,272,Supplier D,11,0.098,3888,IL,4.45,0.82
2020-02-04,TX-300,418,Supplier B,14,0.013,3168,IL,2.36,0.64
2020-07-24,TX-200,229,Supplier E,20,0.044,335,IL,4.33,0.85
2023-01-09,TX-300,467,Supplier D,24,0.044,3851,CA,5.28,0.75
2023-11-12,TX-100,411,Supplier E,19,0.001,3743,NY,3.93,1.0
2022-10-22,TX-400,84,Supplier A,5,0.067,1208,FL,3.62,0.86
2022-10-18,TX-400,408,Supplier C,17,0.054,1896,NY,5.97,0.21
2023-11-14,TX-500,152,Supplier D,29,0.05,3573,TX,1.6,0.96
2021-07-19,TX-200,210,Supplier B,12,0.082,1490,CA,2.99,0.34
2023-02-03,TX-500,249,Supplier E,3,0.024,3231,TX,5.63,0.61
2021-12-03,TX-100,209,Supplier D,11,0.086,2311,IL,4.39,0.94
2021-02-05,TX-400,232,Supplier C,8,0.086,2741,IL,3.94,0.21
2021-12-30,TX-100,402,Supplier B,1,0.083,3328,FL,4.37,0.86
2020-06-10,TX-100,185,Supplier B,15,0.034,1026,NY,2.95,0.95
2020-07-20,TX-200,479,Supplier E,0,0.016,3021,TX,1.82,0.85
2022-09-22,TX-100,447,Supplier D,3,0.048,3056,IL,2.74,0.82
2020-09-26,TX-400,275,Supplier D,14,0.026,3927,FL,3.01,0.26
2022-03-26,TX-500,441,Supplier B,19,0.005,3545,FL,3.66,0.41
2023-07-18,TX-400,292,Supplier A,0,0.028,4138,TX,3.27,0.76
2021-03-31,TX-200,155,Supplier B,19,0.047,220,NY,3.84,0.12
2023-06-29,TX-400,120,Supplier C,14,0.011,1065,CA,2.38,0.89
2022-10-13,TX-300,126,Supplier D,2,0.094,2149,FL,2.33,0.21
2020-10-22,TX-500,103,Supplier E,12,0.066,4313,TX,3.08,0.56
2021-12-20,TX-300,326,Supplier D,17,0.014,3819,IL,3.63,0.11
2020-12-03,TX-300,160,Supplier B,12,0.081,4013,CA,3.04,0.19
2022-05-28,TX-200,273,Supplier C,9,0.093,4834,CA,4.09,0.59
2022-12-12,TX-100,124,Supplier A,19,0.026,3924,NY,2.9,0.63
2022-03-02,TX-300,63,Supplier D,23,0.014,4569,TX,2.3,0.27
2020-08-04,TX-400,307,Supplier B,6,0.032,3279,NY,5.38,0.12
2022-02-02,TX-100,238,Supplier B,24,0.083,3470,FL,2.4,0.55
2020-07-06,TX-400,413,Supplier B,7,0.018,3604,FL,5.85,0.84
2021-01-14,TX-400,288,Supplier C,0,0.078,4141,TX,5.94,0.2
2021-05-07,TX-100,450,Supplier B,27,0.072,2023,IL,4.64,0.69
2022-11-30,TX-100,383,Supplier B,17,0.065,3916,FL,3.76,0.39
2023-03-26,TX-400,353,Supplier B,11,0.043,3191,FL,5.08,0.94
