uuid,Date,Tractor_Model,Warehouse_Location,Supplier,Demand_Units,Backorder_Qty,Production_Plan_Qty,Inflation_Rate,Market_Trend_Index
be1dea3e-69df-b6b2-8851-a0877a072bab,2020-03-01,TX-200,TX,Supplier D,273,20,344,3.22,0.46
2826ef67-c9c8-95e8-484c-08c65c5d80e0,2022-09-03,TX-500,CA,Supplier B,397,32,511,4.26,0.95
b0a9f78c-8f82-1ed1-9a2f-da0289975806,2023-05-02,TX-100,NY,Supplier C,273,21,348,4.14,0.98
a9cfecae-4b27-2eb4-cbad-b843815ddeb4,2020-09-11,TX-200,FL,Supplier C,265,20,338,2.91,0.86
6909d398-28ca-e1e7-9949-8a40f096bbe1,2020-05-09,TX-300,TX,Supplier C,334,30,426,2.99,0.75
50b8fcc0-3e6b-fbc9-832d-11e3a331c18a,2022-09-20,TX-100,FL,Supplier B,295,31,385,4.26,0.66
e2d24fd2-d7a4-ad14-63d4-95e7cfe9c89c,2022-10-22,TX-300,FL,Supplier E,247,12,310,3.97,0.32
735015b7-44b8-ea48-3c58-6e4266c92e0c,2023-11-01,TX-300,FL,Supplier E,225,8,278,4.32,0.8
e5c42351-c768-07f1-9adb-71664ddba42a,2020-05-16,TX-500,TX,Supplier D,376,38,485,2.99,0.37
6f171c72-e6d8-dd85-3436-b38b9b785f41,2021-06-16,TX-200,TX,Supplier E,377,17,468,3.5,0.1
c100f4f5-3ed4-f720-da0e-0fde240069e6,2022-01-17,TX-100,FL,Supplier B,204,14,261,3.7,0.17
01f5407c-a339-2bec-4a31-7d73b5066ff7,2023-12-20,TX-500,IL,Supplier C,224,18,288,4.33,0.66
5938c881-30b1-3854-feb7-2c1581f5f85a,2021-11-17,TX-400,CA,Supplier D,268,19,334,3.9,0.21
eac17d16-7360-2a76-97ae-56e2d5b6fbd8,2023-06-16,TX-300,CA,Supplier C,324,18,399,4.27,0.58
cc567c39-af22-5ae7-6743-8cf441956daa,2020-04-11,TX-500,FL,Supplier B,292,27,373,3.56,0.9
36f775a4-65ef-180f-f517-08cb200260c1,2022-08-24,TX-400,NY,Supplier E,266,24,346,4.49,0.68
ad6c6ce1-d5e7-ddd2-c094-74431fdda7a6,2020-11-02,TX-100,TX,Supplier E,218,17,279,3.1,0.76
0244a9d8-a0f3-105d-b2db-51993aeda2c4,2021-09-09,TX-100,NY,Supplier B,219,21,283,3.71,1.0
fbfbd52d-52f3-39b4-14d0-58eb388d0b07,2023-10-30,TX-100,NY,Supplier A,226,19,291,4.1,0.63
4ab3442f-a9b5-696a-d44c-4d59987542e8,2023-05-31,TX-200,NY,Supplier A,356,19,450,4.14,0.09
378d00a4-3a3c-c8de-6595-3867f0e6a1d9,2022-05-14,TX-100,TX,Supplier E,287,14,355,3.99,0.98
8508ef14-cbe0-9c0a-cb2e-ad43af41814c,2023-06-16,TX-100,IL,Supplier A,359,22,459,4.27,0.58
2142eeac-30f0-7d9d-8046-86b728ca4722,2022-12-08,TX-400,NY,Supplier B,215,16,276,4.43,0.83
08ff8528-3a40-ef29-70fa-05a3f53ab323,2020-08-19,TX-500,FL,Supplier C,389,26,492,2.82,0.18
6680806d-991b-4432-406a-51d609c2d1bb,2022-02-17,TX-200,FL,Supplier D,267,25,345,3.6,0.87
c8a12339-d844-28b1-56a6-bab9c9113f4e,2022-03-28,TX-100,CA,Supplier B,274,16,347,3.78,0.8
a5006d48-d098-54fb-793b-8fa4d182fb9a,2021-03-12,TX-200,IL,Supplier E,272,15,341,3.96,0.47
2380a5c2-516b-16c3-4d37-379575c1e398,2021-12-01,TX-500,CA,Supplier E,278,26,361,3.84,0.26
d64fc1f8-bd3c-d3a5-8c3b-4915a1631fe4,2021-02-14,TX-100,CA,Supplier D,225,16,282,3.82,0.57
3ecd6aa8-95d1-5373-ca3d-9777f389da30,2020-09-22,TX-400,IL,Supplier D,235,26,309,2.91,0.33
41f7aaf8-5a12-27c8-1e3d-b01056233d66,2021-05-08,TX-100,NY,Supplier B,246,17,314,3.79,0.99
70f59e88-11ed-be94-5902-5c6f38d29292,2020-01-16,TX-300,TX,Supplier B,209,17,266,3.17,0.55
64566822-ce6a-7565-1ed3-43f9dc4c075e,2020-08-15,TX-200,FL,Supplier C,313,22,401,2.82,0.5
