uuid,Date,Tractor_Model,Warehouse_Location,Supplier,Demand_Units,Backorder_Qty,Production_Plan_Qty,Inflation_Rate,Market_Trend_Index,Part_SKU,Supplier_Delay_Days,Component_Failure_Rate,Inventory_Levels,Unit_Cost
be1dea3e-69df-b6b2-8851-a0877a072bab,2020-03-01,TX-200,TX,Supplier D,273,20,344,3.22,0.46,ENG-01,19,0.06,1016,4434
be1dea3e-69df-b6b2-8851-a0877a072bab,2020-03-01,TX-200,TX,Supplier D,273,20,344,3.22,0.46,TRN-02,16,0.053,0,2754
be1dea3e-69df-b6b2-8851-a0877a072bab,2020-03-01,TX-200,TX,Supplier D,273,20,344,3.22,0.46,HYD-03,15,0.04,0,1125
be1dea3e-69df-b6b2-8851-a0877a072bab,2020-03-01,TX-200,TX,Supplier D,273,20,344,3.22,0.46,ELEC-04,17,0.045,0,787
be1dea3e-69df-b6b2-8851-a0877a072bab,2020-03-01,TX-200,TX,Supplier D,273,20,344,3.22,0.46,CHS-05,20,0.01,0,1491
2826ef67-c9c8-95e8-484c-08c65c5d80e0,2022-09-03,TX-500,CA,Supplier B,397,32,511,4.26,0.95,ENG-01,17,0.089,2989,4427
2826ef67-c9c8-95e8-484c-08c65c5d80e0,2022-09-03,TX-500,CA,Supplier B,397,32,511,4.26,0.95,TRN-02,17,0.052,0,2701
2826ef67-c9c8-95e8-484c-08c65c5d80e0,2022-09-03,TX-500,CA,Supplier B,397,32,511,4.26,0.95,HYD-03,14,0.031,2485,1087
2826ef67-c9c8-95e8-484c-08c65c5d80e0,2022-09-03,TX-500,CA,Supplier B,397,32,511,4.26,0.95,ELEC-04,14,0.059,1024,794
2826ef67-c9c8-95e8-484c-08c65c5d80e0,2022-09-03,TX-500,CA,Supplier B,397,32,511,4.26,0.95,CHS-05,20,0.038,70,1581
b0a9f78c-8f82-1ed1-9a2f-da0289975806,2023-05-02,TX-100,NY,Supplier C,273,21,348,4.14,0.98,ENG-01,10,0.05,0,4806
b0a9f78c-8f82-1ed1-9a2f-da0289975806,2023-05-02,TX-100,NY,Supplier C,273,21,348,4.14,0.98,TRN-02,16,0.056,0,2644
b0a9f78c-8f82-1ed1-9a2f-da0289975806,2023-05-02,TX-100,NY,Supplier C,273,21,348,4.14,0.98,HYD-03,21,0.06,0,1134
b0a9f78c-8f82-1ed1-9a2f-da0289975806,2023-05-02,TX-100,NY,Supplier C,273,21,348,4.14,0.98,ELEC-04,17,0.04,610,843
b0a9f78c-8f82-1ed1-9a2f-da0289975806,2023-05-02,TX-100,NY,Supplier C,273,21,348,4.14,0.98,CHS-05,14,0.036,780,1543
a9cfecae-4b27-2eb4-cbad-b843815ddeb4,2020-09-11,TX-200,FL,Supplier C,265,20,338,2.91,0.86,ENG-01,9,0.084,3597,4761
a9cfecae-4b27-2eb4-cbad-b843815ddeb4,2020-09-11,TX-200,FL,Supplier C,265,20,338,2.91,0.86,TRN-02,17,0.067,802,2741
a9cfecae-4b27-2eb4-cbad-b843815ddeb4,2020-09-11,TX-200,FL,Supplier C,265,20,338,2.91,0.86,HYD-03,11,0.021,0,1207
a9cfecae-4b27-2eb4-cbad-b843815ddeb4,2020-09-11,TX-200,FL,Supplier C,265,20,338,2.91,0.86,ELEC-04,17,0.069,2357,818
a9cfecae-4b27-2eb4-cbad-b843815ddeb4,2020-09-11,TX-200,FL,Supplier C,265,20,338,2.91,0.86,CHS-05,20,0.018,1271,1573
6909d398-28ca-e1e7-9949-8a40f096bbe1,2020-05-09,TX-300,TX,Supplier C,334,30,426,2.99,0.75,ENG-01,13,0.053,0,4855
6909d398-28ca-e1e7-9949-8a40f096bbe1,2020-05-09,TX-300,TX,Supplier C,334,30,426,2.99,0.75,TRN-02,16,0.042,0,2893
