uuid,Date,Tractor_Model,Warehouse_Location,Supplier,Demand_Units,Backorder_Qty,Production_Plan_Qty,Inflation_Rate,Market_Trend_Index
ec8ac3e9-3408-ce62-f556-784f0c6545a6,2024-01-01,TX-100,CA,Supplier A,215,17,274,4.58,0.11
0ae455a6-5102-bbee-fc65-48e2e3aae684,2024-01-01,TX-100,IL,Supplier C,201,23,260,4.58,0.11
4f64d692-4c54-fdaf-e6f7-919abdbf9781,2024-01-01,TX-200,TX,Supplier A,251,21,323,4.58,0.11
2aa0fb2f-0fb4-b410-205f-bd468677350d,2024-01-01,TX-300,IL,Supplier D,229,23,295,4.58,0.11
4a0bf316-efa5-5c85-78bd-65c5886a553c,2024-01-01,TX-300,TX,Supplier D,214,17,274,4.58,0.11
a93fe809-7924-34d1-c91d-53630e878f9d,2024-01-01,TX-400,FL,Supplier A,220,11,276,4.58,0.11
2b80844a-ac63-c3ce-45c6-687d28ad3410,2024-01-01,TX-400,TX,Supplier A,237,12,299,4.58,0.11
bf9f7907-98d0-a51c-27a7-bc8840e143e7,2024-01-01,TX-500,CA,Supplier B,260,15,335,4.58,0.11
128d7402-c597-9d24-d649-d7d950deb235,2024-01-01,TX-500,FL,Supplier E,226,10,285,4.58,0.11
fb0a1b85-ea92-3ab5-f0ac-f9d85bf0a0db,2024-01-02,TX-100,IL,Supplier E,165,8,208,4.58,0.57
3a2e9ab2-1e92-1d59-37c7-c09f505206b9,2024-01-02,TX-100,NY,Supplier C,158,13,200,4.58,0.57
2def03ea-f264-deae-099f-007808cc2a40,2024-01-02,TX-200,TX,Supplier B,244,22,315,4.58,0.57
31738dd1-870a-8934-95b5-b51eafba82fb,2024-01-02,TX-500,CA,Supplier B,287,24,364,4.58,0.57
2e1840ba-92ae-1629-c771-93e39d7e7cdb,2024-01-03,TX-100,CA,Supplier B,230,9,288,4.58,0.0
7803d7b7-063b-f616-c373-56d526bf3263,2024-01-03,TX-100,FL,Supplier A,186,14,242,4.58,0.0
0dece465-d9a0-e335-7d7e-7edb5243dc24,2024-01-03,TX-100,NY,Supplier E,182,13,231,4.58,0.0
e2f84627-f1c1-b785-3df6-eb5cec46e6f6,2024-01-03,TX-300,FL,Supplier A,232,12,290,4.58,0.0
5b495ff2-fb1e-5ccf-f218-d016c6f97a69,2024-01-03,TX-300,IL,Supplier D,217,12,272,4.58,0.0
5ea5a38a-697a-a25c-605b-e08bbd7c4220,2024-01-03,TX-300,TX,Supplier D,206,22,274,4.58,0.0
acc24416-9068-4070-c2ec-0b34a3186071,2024-01-03,TX-500,FL,Supplier A,229,24,299,4.58,0.0
938d9592-53df-53ae-a69a-fa1ddf9f8601,2024-01-04,TX-100,CA,Supplier B,217,10,271,4.58,0.47
e7f7db41-4133-f086-0d0d-4a03d31ec591,2024-01-04,TX-100,IL,Supplier C,167,15,214,4.58,0.47
acad8be4-b4b6-5c42-39be-41a91c6f4af8,2024-01-04,TX-100,TX,Supplier B,235,11,291,4.58,0.47
059bd62b-6506-d427-0d74-e4ed23b9c2c2,2024-01-04,TX-200,CA,Supplier D,207,20,269,4.58,0.47
5852792d-4dbe-401b-9df8-6daa6b63828f,2024-01-04,TX-200,NY,Supplier C,193,15,245,4.58,0.47
2f142c78-5894-66c0-dae9-eb28dc742324,2024-01-04,TX-300,IL,Supplier C,186,16,237,4.58,0.47
f31deb86-4e83-47e1-55c7-0ea07ddc0f8c,2024-01-04,TX-500,CA,Supplier B,270,14,343,4.58,0.47
54f7451c-ee7c-01c5-fa58-de88be450ba8,2024-01-04,TX-500,IL,Supplier D,241,20,312,4.58,0.47
b3a81149-361d-e6ac-b2d3-ae4a2818c7e6,2024-01-05,TX-100,CA,Supplier B,223,15,281,4.58,0.98
79bf2b2f-0c85-6ef7-78b4-ac17afcdf8ba,2024-01-05,TX-100,FL,Supplier A,182,10,231,4.58,0.98
808a572c-2b59-8f2a-479e-a06dd127be06,2024-01-05,TX-100,NY,Supplier D,171,17,224,4.58,0.98
408b9bce-0207-6f57-ea63-340216ea0ffb,2024-01-05,TX-200,CA,Supplier E,267,14,328,4.58,0.98
462418ed-f2c3-fca9-b65e-8f2d6eef7940,2024-01-05,TX-200,IL,Supplier E,179,8,224,4.58,0.98
8c26cbe1-6bbe-332f-0ff1-b73751e0137a,2024-01-05,TX-500,TX,Supplier B,219,18,280,4.58,0.98
da404228-a0d5-a902-d787-d67a3c578d89,2024-01-06,TX-100,FL,Supplier B,216,28,289,4.58,0.8
b6b0dfe4-f8f9-80a3-13ee-4a8a2e882c6a,2024-01-06,TX-100,IL,Supplier C,170,12,215,4.58,0.8
99bd6b5c-b23b-fa6e-758d-e3aef53cff99,2024-01-06,TX-100,NY,Supplier C,191,13,241,4.58,0.8
9014c63e-b5e1-06ba-68b0-1131f2238f3a,2024-01-06,TX-200,IL,Supplier E,203,11,254,4.58,0.8
332e886f-b0cd-09f9-2489-70d2a8ece145,2024-01-06,TX-300,CA,Supplier B,250,22,321,4.58,0.8
18546c34-cb3a-8ee0-004b-6294b90cf113,2024-01-06,TX-400,IL,Supplier A,201,23,264,4.58,0.8
c946a15e-3cbc-812f-35d5-0b62f21e852a,2024-01-06,TX-500,IL,Supplier C,238,15,295,4.58,0.8
5d06280d-2dce-0a15-db15-a6cc94991714,2024-01-06,TX-500,NY,Supplier E,197,9,245,4.58,0.8
8ac2d9aa-5724-90e9-539a-a80c58ae35b1,2024-01-06,TX-500,TX,Supplier B,239,7,289,4.58,0.8
38686650-52f9-98a2-3a42-c59f9d15a08b,2024-01-07,TX-100,CA,Supplier D,240,24,311,4.58,0.6
63aa60d5-9ddd-dcb5-d586-ad9cbcdcc8a0,2024-01-07,TX-100,NY,Supplier A,193,12,246,4.58,0.6
5884deb6-ad0c-1021-ef03-4c77be95aad1,2024-01-07,TX-100,TX,Supplier C,242,16,307,4.58,0.6
68b72ee2-23c2-ab97-3216-d974c5909c38,2024-01-07,TX-300,FL,Supplier D,214,16,268,4.58,0.6
db27b87e-bc7d-d69b-9b27-6149e070ed97,2024-01-07,TX-400,CA,Supplier C,240,24,314,4.58,0.6
8372b28f-852e-fc69-2d43-4823fc831fef,2024-01-07,TX-400,FL,Supplier C,260,20,326,4.58,0.6
038076f9-3538-99df-74e8-8503c84a4543,2024-01-07,TX-500,IL,Supplier C,261,18,328,4.58,0.6
3382574f-ed1e-1079-cc08-19549b863fd4,2024-01-08,TX-100,IL,Supplier B,164,17,214,4.58,0.33
35f4177a-2964-2b78-1325-c5d90b9e503b,2024-01-08,TX-200,CA,Supplier D,244,16,311,4.58,0.33
be37f828-d949-d07c-d3d5-0c7994c423ea,2024-01-08,TX-300,IL,Supplier A,203,14,261,4.58,0.33
