uuid,Date,Tractor_Model,Warehouse_Location,Supplier,Demand_Units,Backorder_Qty,Production_Plan_Qty,Inflation_Rate,Market_Trend_Index,Part_SKU,Supplier_Delay_Days,Component_Failure_Rate,Inventory_Levels,Unit_Cost
ec8ac3e9-3408-ce62-f556-784f0c6545a6,2024-01-01,TX-100,CA,Supplier A,215,17,274,4.58,0.11,ENG-01,10,0.065,0,4202
ec8ac3e9-3408-ce62-f556-784f0c6545a6,2024-01-01,TX-100,CA,Supplier A,215,17,274,4.58,0.11,TRN-02,14,0.037,0,2468
ec8ac3e9-3408-ce62-f556-784f0c6545a6,2024-01-01,TX-100,CA,Supplier A,215,17,274,4.58,0.11,HYD-03,16,0.046,0,1083
ec8ac3e9-3408-ce62-f556-784f0c6545a6,2024-01-01,TX-100,CA,Supplier A,215,17,274,4.58,0.11,ELEC-04,15,0.063,1441,763
ec8ac3e9-3408-ce62-f556-784f0c6545a6,2024-01-01,TX-100,CA,Supplier A,215,17,274,4.58,0.11,CHS-05,6,0.01,0,1393
0ae455a6-5102-bbee-fc65-48e2e3aae684,2024-01-01,TX-100,IL,Supplier C,201,23,260,4.58,0.11,ENG-01,21,0.065,1352,4496
0ae455a6-5102-bbee-fc65-48e2e3aae684,2024-01-01,TX-100,IL,Supplier C,201,23,260,4.58,0.11,TRN-02,21,0.036,0,2692
0ae455a6-5102-bbee-fc65-48e2e3aae684,2024-01-01,TX-100,IL,Supplier C,201,23,260,4.58,0.11,HYD-03,13,0.023,897,1142
0ae455a6-5102-bbee-fc65-48e2e3aae684,2024-01-01,TX-100,IL,Supplier C,201,23,260,4.58,0.11,ELEC-04,22,0.044,233,792
0ae455a6-5102-bbee-fc65-48e2e3aae684,2024-01-01,TX-100,IL,Supplier C,201,23,260,4.58,0.11,CHS-05,10,0.023,716,1459
4f64d692-4c54-fdaf-e6f7-919abdbf9781,2024-01-01,TX-200,TX,Supplier A,251,21,323,4.58,0.11,ENG-01,19,0.054,806,4449
4f64d692-4c54-fdaf-e6f7-919abdbf9781,2024-01-01,TX-200,TX,Supplier A,251,21,323,4.58,0.11,TRN-02,6,0.067,897,2604
4f64d692-4c54-fdaf-e6f7-919abdbf9781,2024-01-01,TX-200,TX,Supplier A,251,21,323,4.58,0.11,HYD-03,10,0.046,498,1098
4f64d692-4c54-fdaf-e6f7-919abdbf9781,2024-01-01,TX-200,TX,Supplier A,251,21,323,4.58,0.11,ELEC-04,19,0.054,0,791
4f64d692-4c54-fdaf-e6f7-919abdbf9781,2024-01-01,TX-200,TX,Supplier A,251,21,323,4.58,0.11,CHS-05,7,0.024,0,1431
2aa0fb2f-0fb4-b410-205f-bd468677350d,2024-01-01,TX-300,IL,Supplier D,229,23,295,4.58,0.11,ENG-01,13,0.058,148,4251
2aa0fb2f-0fb4-b410-205f-bd468677350d,2024-01-01,TX-300,IL,Supplier D,229,23,295,4.58,0.11,TRN-02,19,0.053,591,2355
2aa0fb2f-0fb4-b410-205f-bd468677350d,2024-01-01,TX-300,IL,Supplier D,229,23,295,4.58,0.11,HYD-03,21,0.04,0,1059
2aa0fb2f-0fb4-b410-205f-bd468677350d,2024-01-01,TX-300,IL,Supplier D,229,23,295,4.58,0.11,ELEC-04,14,0.047,1536,762
2aa0fb2f-0fb4-b410-205f-bd468677350d,2024-01-01,TX-300,IL,Supplier D,229,23,295,4.58,0.11,CHS-05,16,0.021,0,1357
4a0bf316-efa5-5c85-78bd-65c5886a553c,2024-01-01,TX-300,TX,Supplier D,214,17,274,4.58,0.11,ENG-01,19,0.064,1186,4075
4a0bf316-efa5-5c85-78bd-65c5886a553c,2024-01-01,TX-300,TX,Supplier D,214,17,274,4.58,0.11,TRN-02,25,0.059,1046,2464
4a0bf316-efa5-5c85-78bd-65c5886a553c,2024-01-01,TX-300,TX,Supplier D,214,17,274,4.58,0.11,HYD-03,25,0.045,885,1065
4a0bf316-efa5-5c85-78bd-65c5886a553c,2024-01-01,TX-300,TX,Supplier D,214,17,274,4.58,0.11,ELEC-04,13,0.055,299,763
4a0bf316-efa5-5c85-78bd-65c5886a553c,2024-01-01,TX-300,TX,Supplier D,214,17,274,4.58,0.11,CHS-05,21,0.013,0,1426
a93fe809-7924-34d1-c91d-53630e878f9d,2024-01-01,TX-400,FL,Supplier A,220,11,276,4.58,0.11,ENG-01,14,0.072,0,4352
a93fe809-7924-34d1-c91d-53630e878f9d,2024-01-01,TX-400,FL,Supplier A,220,11,276,4.58,0.11,TRN-02,11,0.046,129,2518
a93fe809-7924-34d1-c91d-53630e878f9d,2024-01-01,TX-400,FL,Supplier A,220,11,276,4.58,0.11,HYD-03,15,0.058,0,1077
a93fe809-7924-34d1-c91d-53630e878f9d,2024-01-01,TX-400,FL,Supplier A,220,11,276,4.58,0.11,ELEC-04,11,0.075,216,787
a93fe809-7924-34d1-c91d-53630e878f9d,2024-01-01,TX-400,FL,Supplier A,220,11,276,4.58,0.11,CHS-05,14,0.022,247,1397
2b80844a-ac63-c3ce-45c6-687d28ad3410,2024-01-01,TX-400,TX,Supplier A,237,12,299,4.58,0.11,ENG-01,13,0.086,136,4312
2b80844a-ac63-c3ce-45c6-687d28ad3410,2024-01-01,TX-400,TX,Supplier A,237,12,299,4.58,0.11,TRN-02,12,0.051,297,2572
2b80844a-ac63-c3ce-45c6-687d28ad3410,2024-01-01,TX-400,TX,Supplier A,237,12,299,4.58,0.11,HYD-03,17,0.044,0,1082
2b80844a-ac63-c3ce-45c6-687d28ad3410,2024-01-01,TX-400,TX,Supplier A,237,12,299,4.58,0.11,ELEC-04,13,0.059,1356,783
2b80844a-ac63-c3ce-45c6-687d28ad3410,2024-01-01,TX-400,TX,Supplier A,237,12,299,4.58,0.11,CHS-05,9,0.041,0,1436
bf9f7907-98d0-a51c-27a7-bc8840e143e7,2024-01-01,TX-500,CA,Supplier B,260,15,335,4.58,0.11,ENG-01,18,0.088,0,4450
bf9f7907-98d0-a51c-27a7-bc8840e143e7,2024-01-01,TX-500,CA,Supplier B,260,15,335,4.58,0.11,TRN-02,10,0.07,210,2539
bf9f7907-98d0-a51c-27a7-bc8840e143e7,2024-01-01,TX-500,CA,Supplier B,260,15,335,4.58,0.11,HYD-03,18,0.037,201,1113
bf9f7907-98d0-a51c-27a7-bc8840e143e7,2024-01-01,TX-500,CA,Supplier B,260,15,335,4.58,0.11,ELEC-04,12,0.077,0,808
bf9f7907-98d0-a51c-27a7-bc8840e143e7,2024-01-01,TX-500,CA,Supplier B,260,15,335,4.58,0.11,CHS-05,15,0.033,0,1377
128d7402-c597-9d24-d649-d7d950deb235,2024-01-01,TX-500,FL,Supplier E,226,10,285,4.58,0.11,ENG-01,12,0.078,0,4584
128d7402-c597-9d24-d649-d7d950deb235,2024-01-01,TX-500,FL,Supplier E,226,10,285,4.58,0.11,TRN-02,7,0.049,116,2727
128d7402-c597-9d24-d649-d7d950deb235,2024-01-01,TX-500,FL,Supplier E,226,10,285,4.58,0.11,HYD-03,10,0.051,0,1176
128d7402-c597-9d24-d649-d7d950deb235,2024-01-01,TX-500,FL,Supplier E,226,10,285,4.58,0.11,ELEC-04,5,0.08,434,840
128d7402-c597-9d24-d649-d7d950deb235,2024-01-01,TX-500,FL,Supplier E,226,10,285,4.58,0.11,CHS-05,3,0.012,945,1470
fb0a1b85-ea92-3ab5-f0ac-f9d85bf0a0db,2024-01-02,TX-100,IL,Supplier E,165,8,208,4.58,0.57,ENG-01,3,0.076,1176,4648
fb0a1b85-ea92-3ab5-f0ac-f9d85bf0a0db,2024-01-02,TX-100,IL,Supplier E,165,8,208,4.58,0.57,TRN-02,3,0.032,0,2735
fb0a1b85-ea92-3ab5-f0ac-f9d85bf0a0db,2024-01-02,TX-100,IL,Supplier E,165,8,208,4.58,0.57,HYD-03,12,0.032,725,1187
fb0a1b85-ea92-3ab5-f0ac-f9d85bf0a0db,2024-01-02,TX-100,IL,Supplier E,165,8,208,4.58,0.57,ELEC-04,5,0.079,60,830
fb0a1b85-ea92-3ab5-f0ac-f9d85bf0a0db,2024-01-02,TX-100,IL,Supplier E,165,8,208,4.58,0.57,CHS-05,6,0.044,547,1464
3a2e9ab2-1e92-1d59-37c7-c09f505206b9,2024-01-02,TX-100,NY,Supplier C,158,13,200,4.58,0.57,ENG-01,20,0.055,1,4650
3a2e9ab2-1e92-1d59-37c7-c09f505206b9,2024-01-02,TX-100,NY,Supplier C,158,13,200,4.58,0.57,TRN-02,14,0.06,422,2588
3a2e9ab2-1e92-1d59-37c7-c09f505206b9,2024-01-02,TX-100,NY,Supplier C,158,13,200,4.58,0.57,HYD-03,19,0.029,590,1144
3a2e9ab2-1e92-1d59-37c7-c09f505206b9,2024-01-02,TX-100,NY,Supplier C,158,13,200,4.58,0.57,ELEC-04,23,0.053,10,861
3a2e9ab2-1e92-1d59-37c7-c09f505206b9,2024-01-02,TX-100,NY,Supplier C,158,13,200,4.58,0.57,CHS-05,23,0.033,314,1461
2def03ea-f264-deae-099f-007808cc2a40,2024-01-02,TX-200,TX,Supplier B,244,22,315,4.58,0.57,ENG-01,17,0.055,548,4434
2def03ea-f264-deae-099f-007808cc2a40,2024-01-02,TX-200,TX,Supplier B,244,22,315,4.58,0.57,TRN-02,22,0.033,643,2606
2def03ea-f264-deae-099f-007808cc2a40,2024-01-02,TX-200,TX,Supplier B,244,22,315,4.58,0.57,HYD-03,18,0.034,241,1113
2def03ea-f264-deae-099f-007808cc2a40,2024-01-02,TX-200,TX,Supplier B,244,22,315,4.58,0.57,ELEC-04,14,0.064,0,793
