uuid,Part_SKU,Supplier_Delay_Days,Component_Failure_Rate,Inventory_Levels,Unit_Cost
b84a7eea-2729-857a-fefd-11ba66fd6d1d,ENG-01,20,0.062,558,4077
b84a7eea-2729-857a-fefd-11ba66fd6d1d,TRN-02,11,0.067,0,2702
b84a7eea-2729-857a-fefd-11ba66fd6d1d,HYD-03,13,0.044,2741,1066
b84a7eea-2729-857a-fefd-11ba66fd6d1d,ELEC-04,12,0.049,0,780
b84a7eea-2729-857a-fefd-11ba66fd6d1d,CHS-05,22,0.018,0,1374
ac170223-a55f-6efa-9dca-11ae278b22c3,ENG-01,14,0.051,0,4279
ac170223-a55f-6efa-9dca-11ae278b22c3,TRN-02,13,0.057,14,2913
ac170223-a55f-6efa-9dca-11ae278b22c3,HYD-03,21,0.037,0,1183
ac170223-a55f-6efa-9dca-11ae278b22c3,ELEC-04,9,0.071,1340,828
ac170223-a55f-6efa-9dca-11ae278b22c3,CHS-05,23,0.026,3584,1462
3569fa56-4a64-8e16-8956-a8e9f695ffa5,ENG-01,9,0.077,0,4284
3569fa56-4a64-8e16-8956-a8e9f695ffa5,TRN-02,21,0.049,104,2751
3569fa56-4a64-8e16-8956-a8e9f695ffa5,HYD-03,21,0.036,0,1110
3569fa56-4a64-8e16-8956-a8e9f695ffa5,ELEC-04,17,0.046,0,824
3569fa56-4a64-8e16-8956-a8e9f695ffa5,CHS-05,20,0.047,0,1354
2e1840ba-92ae-1629-c771-93e39d7e7cdb,ENG-01,19,0.087,0,4384
2e1840ba-92ae-1629-c771-93e39d7e7cdb,TRN-02,21,0.051,0,2519
2e1840ba-92ae-1629-c771-93e39d7e7cdb,HYD-03,13,0.021,0,1146
2e1840ba-92ae-1629-c771-93e39d7e7cdb,ELEC-04,14,0.075,945,793
2e1840ba-92ae-1629-c771-93e39d7e7cdb,CHS-05,22,0.033,0,1463
401f8d2b-094a-0e5f-c480-a39a872fa5cf,ENG-01,20,0.052,0,4329
401f8d2b-094a-0e5f-c480-a39a872fa5cf,TRN-02,20,0.064,0,2823
401f8d2b-094a-0e5f-c480-a39a872fa5cf,HYD-03,12,0.023,100,1140
401f8d2b-094a-0e5f-c480-a39a872fa5cf,ELEC-04,14,0.042,0,813
401f8d2b-094a-0e5f-c480-a39a872fa5cf,CHS-05,14,0.02,0,1465
f9b6541a-030a-eb9d-2017-f95f66971184,ENG-01,23,0.067,5350,4248
f9b6541a-030a-eb9d-2017-f95f66971184,TRN-02,16,0.037,5258,2482
f9b6541a-030a-eb9d-2017-f95f66971184,HYD-03,13,0.04,0,1042
f9b6541a-030a-eb9d-2017-f95f66971184,ELEC-04,11,0.061,0,763
f9b6541a-030a-eb9d-2017-f95f66971184,CHS-05,20,0.049,4611,1367
70205e3e-512e-6e61-2a4f-5f1b89cb1dcb,ENG-01,14,0.089,0,3974
70205e3e-512e-6e61-2a4f-5f1b89cb1dcb,TRN-02,18,0.058,979,2714
70205e3e-512e-6e61-2a4f-5f1b89cb1dcb,HYD-03,24,0.059,1454,1075
